iter	Logloss
0	0.6892734922
1	0.6862551031
2	0.6824650885
3	0.6780963995
4	0.6753582145
5	0.6704333327
6	0.6667079057
7	0.6642845663
8	0.6614564569
9	0.6591016965
10	0.6565536345
11	0.6543460881
12	0.6512994976
13	0.6489159301
14	0.6465031223
15	0.642214584
16	0.6394982633
17	0.6376315057
18	0.6336176357
19	0.6298851561
20	0.627008174
21	0.6243275635
22	0.622933791
23	0.6194366982
24	0.6178403719
25	0.6156890375
26	0.6139695306
27	0.6116056286
28	0.6089735534
29	0.605756479
30	0.6040282101
31	0.6022445883
32	0.5999953778
33	0.5966529278
34	0.5950930858
35	0.5927820711
36	0.5911221913
37	0.58852998
38	0.5860223882
39	0.5827288518
40	0.5800269003
41	0.5773085211
42	0.575166673
43	0.5721371363
44	0.5703659105
45	0.5672842139
46	0.5642027632
47	0.5633197718
48	0.560353586
49	0.5575632033
50	0.5551534274
51	0.5519110468
52	0.5492934732
53	0.5463659075
54	0.5435045752
55	0.5411968282
56	0.5405470035
57	0.5377851682
58	0.535587031
59	0.5318632297
60	0.529168577
61	0.5267615807
62	0.5246401069
63	0.5211049442
64	0.5194853965
65	0.5161563333
66	0.5150061796
67	0.5138772986
68	0.5129449328
69	0.5087779659
70	0.5066962032
71	0.5056203298
72	0.5028728628
73	0.5019820836
74	0.4994616602
75	0.4968246835
76	0.4950331569
77	0.4942872095
78	0.4916454975
79	0.4907116952
80	0.4885679502
81	0.4868999305
82	0.4854397002
83	0.4834004656
84	0.4810028557
85	0.4794703826
86	0.4782161219
87	0.4761863818
88	0.4732196343
89	0.4718653858
90	0.4695441215
91	0.4686871903
92	0.4665101091
93	0.4640008492
94	0.4616105031
95	0.4602557684
96	0.4585603846
97	0.4558723838
98	0.454645923
99	0.4520911848
