iter	Passed	Remaining
0	1	163
1	3	152
2	4	146
3	5	143
4	7	142
5	9	141
6	10	141
7	12	142
8	14	150
9	16	149
10	18	147
11	19	144
12	21	141
13	22	139
14	24	137
15	25	135
16	27	134
17	29	132
18	30	129
19	31	126
20	32	123
21	34	120
22	35	118
23	36	115
24	37	112
25	38	110
26	40	108
27	41	107
28	43	106
29	45	105
30	46	104
31	48	102
32	49	100
33	50	98
34	52	97
35	53	95
36	54	93
37	56	92
38	57	90
39	59	88
40	60	86
41	61	84
42	62	83
43	63	81
44	65	79
45	66	77
46	67	76
47	68	74
48	70	72
49	72	72
50	74	71
51	76	70
52	77	68
53	78	67
54	80	65
55	81	64
56	83	62
57	84	61
58	86	59
59	87	58
60	89	57
61	91	55
62	92	54
63	93	52
64	94	51
65	96	49
66	97	48
67	99	46
68	100	45
69	102	43
70	103	42
71	105	40
72	106	39
73	107	37
74	108	36
75	109	34
76	111	33
77	112	31
78	113	30
79	115	28
80	116	27
81	118	25
82	120	24
83	121	23
84	122	21
85	123	20
86	125	18
87	126	17
88	128	15
89	129	14
90	131	13
91	133	11
92	134	10
93	135	8
94	136	7
95	137	5
96	139	4
97	140	2
98	141	1
99	143	0
