model,test_accuracy,cv_mean,cv_std,roc_auc
XGB_tuned_2,0.575,0.5670588235294118,0.06822177012700435,0.5530303030303031
GB_tuned_5,0.575,0.527843137254902,0.0625782094284508,0.5808080808080808
RF_tuned_2,0.575,0.516078431372549,0.046108042217095115,0.5429292929292929
GB_tuned_3,0.55,0.5318431372549021,0.05207536017402955,0.5227272727272727
GB_Threshold_0.4,0.55,0.0,0.0,0.0
Ensemble_Hard_Voting,0.55,0.524,0.06260002837443299,0.0
RF_tuned_1,0.525,0.4924705882352941,0.06730325821188879,0.5202020202020202
GB_tuned_1,0.525,0.516078431372549,0.0579331303925314,0.5202020202020202
GB_tuned_4,0.525,0.527843137254902,0.04198826294689936,0.5176767676767677
Ensemble_Soft_Voting,0.525,0.531921568627451,0.08444025162095428,0.0
XGB_tuned_1,0.5,0.504078431372549,0.05329964333846607,0.547979797979798
GB_tuned_2,0.5,0.5316862745098039,0.061124361920155,0.505050505050505
MLP_tuned_2,0.375,0.5121568627450981,0.04889238392316454,0.3232323232323232
MLP_tuned_1,0.35,0.5274509803921569,0.04738449401409635,0.35858585858585856
LR_balanced,0.325,0.5784313725490196,0.06503185863441961,0.32828282828282823
LR_tuned,0.325,0.5666666666666667,0.057635052771368885,0.3181818181818182
