model,config,basic_accuracy,basic_cv,enh_accuracy,enh_cv
MLP,100_50,0.5,0.480078431372549,0.55,0.5160784313725489
MLP,50,0.5,0.512078431372549,0.625,0.5076078431372549
SVM,C10_rbf,0.5,0.45286274509803925,0.525,0.496235294117647
GaussianNB,default,0.45,0.46862745098039216,0.45,0.5236862745098039
GradientBoosting,lr0.1_d3,0.45,0.5042352941176471,0.475,0.4767058823529412
MLP,100,0.425,0.503921568627451,0.45,0.48431372549019613
LogisticRegression,C1,0.425,0.47639215686274505,0.475,0.5275294117647059
XGBoost,lr0.1_d6,0.425,0.523450980392157,0.5,0.484313725490196
GradientBoosting,lr0.1_d5,0.425,0.512,0.65,0.516313725490196
GradientBoosting,lr0.05_d3,0.4,0.5161568627450981,0.425,0.500470588235294
SVM,C1_rbf,0.4,0.488313725490196,0.45,0.519686274509804
RandomForest,100_d10,0.4,0.512,0.6,0.45694117647058824
RandomForest,100_d5,0.375,0.504156862745098,0.5,0.46094117647058824
RandomForest,200_d5,0.375,0.5198431372549019,0.525,0.48854901960784314
AdaBoost,200,0.375,0.48854901960784314,0.55,0.4887058823529412
XGBoost,lr0.05_d4,0.35,0.4998431372549019,0.575,0.5001568627450981
AdaBoost,100,0.35,0.48062745098039217,0.5,0.48054901960784313
GradientBoosting,lr0.05_d4,0.275,0.508,0.55,0.4884705882352941
