model_type,config_name,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,cv_mean,cv_std
GradientBoosting,lr=0.1_d=5,0.65,0.5909090909090909,0.7222222222222222,0.65,0.6565656565656566,0.516313725490196,0.10079441469180823
RandomForest,depth=10,0.6,0.5833333333333334,0.3888888888888889,0.4666666666666667,0.5353535353535354,0.45694117647058824,0.049548767428767695
XGBoost,lr=0.05_d=4,0.575,0.5294117647058824,0.5,0.5142857142857142,0.5934343434343434,0.5001568627450981,0.09410182873606925
AdaBoost,n_est=200,0.55,0.5,0.4444444444444444,0.47058823529411764,0.5542929292929293,0.4887058823529412,0.08537657497239912
MLPClassifier,"hidden=(100,50)",0.55,0.5,0.8333333333333334,0.625,0.6919191919191919,0.4802352941176471,0.05267272533150834
XGBoost,lr=0.1_d=6,0.5,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.5202020202020201,0.484313725490196,0.0566934599796116
AdaBoost,n_est=100,0.5,0.42857142857142855,0.3333333333333333,0.375,0.518939393939394,0.48054901960784313,0.05131210334073521
RandomForest,depth=5,0.5,0.42857142857142855,0.3333333333333333,0.375,0.4772727272727273,0.46094117647058824,0.047482796010292164
CatBoost,lr=0.05_d=4,0.5,0.42857142857142855,0.3333333333333333,0.375,0.4797979797979798,0.4922352941176471,0.056323555862721836
LogisticRegression,C=1.0,0.475,0.44,0.6111111111111112,0.5116279069767442,0.38383838383838387,0.5275294117647059,0.01295993886477483
CatBoost,lr=0.1_d=6,0.475,0.4,0.3333333333333333,0.36363636363636365,0.4722222222222222,0.4685490196078431,0.026563120766430644
SVM,C=10.0,0.45,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.5378787878787878,0.5432156862745099,0.05094442169922393
MLPClassifier,"hidden=(50,)",0.45,0.4,0.4444444444444444,0.42105263157894735,0.45202020202020204,0.46415686274509804,0.0708446757999249
GradientBoosting,lr=0.05_d=3,0.425,0.3333333333333333,0.2777777777777778,0.30303030303030304,0.44696969696969696,0.500470588235294,0.09462750786180976
SVM,C=1.0,0.375,0.29411764705882354,0.2777777777777778,0.2857142857142857,0.6035353535353535,0.4765490196078431,0.05742676328245898
MLPClassifier,"hidden=(100,)",0.35,0.34615384615384615,0.5,0.4090909090909091,0.3232323232323232,0.5038431372549019,0.02456592789888584
