match_id,match_date,team1,team2,venue,toss_winner,toss_decision,winner,team1_avg_runs,team2_avg_runs,team1_avg_wickets,team2_avg_wickets,team1_run_rate,team2_run_rate,team1_death_run_rate,team2_death_run_rate,team1_matches,team2_matches,team1_inning_runs,team1_inning_wickets,team1_inning_run_rate,team1_death_runs,team2_inning_runs,team2_inning_wickets,team2_inning_run_rate,team2_death_runs
1304047,2022-03-26,Chennai Super Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,Kolkata Knight Riders,30.0,30.0,5.0,5.0,6.0,6.0,7.5,7.5,0,0,131,5,6.238095238095238,50,133,4,7.1891891891891895,20
1304048,2022-03-27,Mumbai Indians,Delhi Capitals,"Brabourne Stadium, Mumbai",Delhi Capitals,field,Delhi Capitals,30.0,30.0,5.0,5.0,6.0,6.0,7.5,7.5,0,0,177,5,8.704918032786885,54,179,6,9.179487179487179,42
1304049,2022-03-27,Royal Challengers Bangalore,Punjab Kings,"Dr DY Patil Sports Academy, Mumbai",Punjab Kings,field,Punjab Kings,30.0,30.0,5.0,5.0,6.0,6.0,7.5,7.5,0,0,205,2,9.685039370078739,47,208,5,9.904761904761905,46
1304050,2022-03-28,Lucknow Super Giants,Gujarat Titans,"Wankhede Stadium, Mumbai",Gujarat Titans,field,Gujarat Titans,30.0,30.0,5.0,5.0,6.0,6.0,7.5,7.5,0,0,158,6,7.64516129032258,42,161,5,7.983471074380165,48
1304051,2022-03-29,Rajasthan Royals,Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Sunrisers Hyderabad,field,Rajasthan Royals,30.0,30.0,5.0,5.0,6.0,6.0,7.5,7.5,0,0,210,6,9.692307692307692,47,149,7,7.152,68
1304052,2022-03-30,Kolkata Knight Riders,Royal Challengers Bangalore,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,field,Royal Challengers Bangalore,133.0,205.0,4.0,2.0,7.1891891891891895,9.68503937007874,8.0,11.75,1,1,128,10,6.678260869565217,24,132,7,6.545454545454545,31
1304053,2022-03-31,Chennai Super Kings,Lucknow Super Giants,"Brabourne Stadium, Mumbai",Lucknow Super Giants,field,Lucknow Super Giants,131.0,158.0,5.0,6.0,6.238095238095239,7.64516129032258,11.538461538461538,10.08,1,1,210,7,10.24390243902439,48,211,4,9.813953488372093,55
1304054,2022-04-01,Punjab Kings,Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,field,Kolkata Knight Riders,208.0,130.5,5.0,7.0,9.904761904761905,6.933725029377204,12.0,8.235294117647058,1,2,137,10,6.966101694915253,33,141,4,9.195652173913043,0
1304055,2022-04-02,Rajasthan Royals,Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians,field,Rajasthan Royals,210.0,177.0,6.0,5.0,9.692307692307693,8.704918032786885,10.846153846153847,12.96,1,1,193,8,9.19047619047619,49,170,8,7.846153846153846,33
1304056,2022-04-02,Gujarat Titans,Delhi Capitals,"Maharashtra Cricket Association Stadium, Pune",Delhi Capitals,field,Gujarat Titans,161.0,179.0,5.0,6.0,7.983471074380166,9.179487179487179,12.521739130434781,15.75,1,1,171,6,8.274193548387096,35,157,9,7.658536585365853,23
